Material,Concentration,YoungModulus_MPa,YoungModulus_SE,N_Samples
Cerrolow,10v,NaN,NaN,5
Cerrolow,20v,NaN,NaN,5
Cerrolow,30v,NaN,NaN,10
Cerrolow,40v,NaN,NaN,5
Cerrolow,50v,NaN,NaN,9
Ecoflex50,0v,NaN,NaN,3
