Concentration,Cerr 117,Cerr 158,FM,Guth,Tsai
0,NaN,NaN,0.0914245801903203,NaN,NaN
10,0.210606828548412,0.211302745702692,0.185580735,0.190935482864536,0.163466594480744
20,0.329533564139772,0.247597541577652,0.256399582,0.305221960738144,0.265296497781823
30,0.391558519861125,0.450492827025584,0.520983715,0.424859433620824,0.396215206878904
40,0.570520222857118,0.550644838605487,0.619784266,0.549847901512576,0.570763945175517
50,0.714178879999726,0.638969554636359,0.794534667,0.6801873644134,0.815113863644047
