Material,Concentration,YoungModulus_MPa,YoungModulus_SE,N_Samples
fm,Ecoflex 50,0.09142458,0.02037302,3
fm,10v,0.185580735,0.014428128,5
fm,20v,0.256399582,0.055633995,5
fm,30v,0.520983715,0.038996841,10
fm,40v,0.619784266,0.044414609,5
fm,50v,0.794534667,0.075678262,9
fm,0v,0.0914245801903203,0.0203730196529344,3
