Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
0.000000,23.600000,22.000000,1.000001,0.000000,2047.000000,-39.750000,-21.500000,39059396.750000,38137.875000,38150.875000,0.000041,45.191952,0.540881,0.524391,0.482969,0.000000,0.000000,-2443.414289,1.850475,-2441.563814,-1319.425595,0.000000,-1.826060,0.000000,0.321910,0.000000,0.131746,0.000000,64382.095934,0.000000,0.021958,0.000000,-0.000000,0.000002,-0.000000,0.000000,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.061657,23.600000,22.000000,1.000001,0.000000,2050.000000,-514.750000,34.500000,39151576.250000,38200.750000,38244.125000,0.000041,515.904848,-0.067023,-0.079938,-0.079768,0.000000,0.000000,-2442.555595,1.850475,-2440.705120,-1318.961555,-0.000000,-1.825418,0.017698,0.311163,0.010747,0.134638,0.002892,62232.630757,2149.465177,0.022440,0.000482,-0.000000,0.000025,-0.000000,0.000004,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.124656,23.600000,22.000000,1.000001,0.000000,2060.000000,-1537.375000,-291.875000,39535699.375000,38448.625000,38635.000000,0.000041,1564.836383,0.189853,0.176576,0.174774,0.000000,0.000000,-2439.300842,1.850475,-2437.450367,-1317.202680,0.000000,-1.822985,0.076692,0.281128,0.040782,0.146690,0.014943,56225.640268,8156.455666,0.024448,0.002491,-0.000000,0.000076,-0.000000,0.000013,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.187657,23.600000,22.000000,1.000001,0.000000,2071.000000,906.125000,-1402.875000,40032431.375000,39018.375000,39142.250000,0.000041,1670.066101,-1.548214,-1.592737,-1.010150,0.000000,0.000000,-2435.869776,1.850475,-2434.019301,-1315.348526,-0.000000,-1.820421,0.141585,0.253693,0.068217,0.162274,0.030528,50738.657138,13643.438797,0.027046,0.005088,-0.000000,0.000044,-0.000000,0.000007,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.249654,23.525000,22.000000,1.000001,0.000000,2081.000000,443.125000,403.625000,40518396.625000,39497.500000,39629.125000,0.000041,599.393782,0.910860,0.887628,0.725937,0.000000,0.000000,-2433.366839,1.850475,-2431.516364,-1313.995935,0.000000,-1.818551,0.200579,0.231394,0.090517,0.177521,0.045774,46278.779810,18103.316124,0.029587,0.007629,-0.000000,0.000022,-0.000000,0.000004,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.311825,23.500000,22.000000,1.000001,0.000000,2092.000000,-1824.500000,1187.750000,41063131.250000,39961.750000,40132.375000,0.000041,2177.050829,-0.651000,-0.669445,-0.589924,0.000000,0.000000,-2431.568599,1.850475,-2429.718124,-1313.024162,-0.000000,-1.817207,0.265472,0.207738,0.114172,0.194611,0.062865,41547.605880,22834.490054,0.032435,0.010477,-0.000000,0.000089,-0.000000,0.000015,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.373823,23.500000,22.000000,1.000001,0.000000,2102.000000,-1440.625000,-316.375000,41581225.875000,40419.500000,40637.500000,0.000041,1474.955434,0.219610,0.206182,0.203332,0.000000,0.000000,-2430.847044,1.850475,-2428.996569,-1312.634232,0.000000,-1.816668,0.324465,0.188116,0.133794,0.210865,0.079119,37623.261102,26758.834833,0.035144,0.013187,-0.000000,0.000071,-0.000000,0.000012,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.437155,23.500000,22.000000,1.000001,0.000000,2113.000000,1555.250000,-1448.500000,42144659.500000,41068.875000,41214.500000,0.000041,2125.312874,-0.931362,-0.955641,-0.762720,0.000000,0.000000,-2431.153981,1.850475,-2429.303506,-1312.800102,-0.000000,-1.816897,0.389359,0.166264,0.155647,0.228543,0.096796,33252.710665,31129.385269,0.038090,0.016133,-0.000000,0.000076,-0.000000,0.000013,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.498483,23.500000,22.000000,1.000001,0.000000,2124.000000,1077.375000,364.125000,42724581.625000,41635.250000,41809.500000,0.000041,1137.243996,0.337974,0.323723,0.313076,0.000000,0.000000,-2432.650920,1.850475,-2430.800446,-1313.609051,0.000000,-1.818016,0.454252,0.145973,0.175937,0.246737,0.114991,29194.616172,35187.479763,0.041123,0.019165,-0.000000,0.000053,-0.000000,0.000009,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.580149,23.500000,22.000000,1.000001,0.000000,2134.000000,-11.875000,-1447.875000,43274380.625000,42126.375000,42271.750000,0.000041,1447.923697,121.926316,47.505698,1.549749,0.000000,0.000000,-2435.166195,1.850475,-2433.315721,-1314.968310,0.000000,-1.819895,0.513245,0.129605,0.192306,0.263986,0.132240,25920.964478,38461.131456,0.043998,0.022040,-0.000000,0.000002,-0.000000,0.000000,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
